DEVELOPER_NUMBER,DEVELOPER_EN,REGISTRATION_DATE,LICENSE_SOURCE_EN,LICENSE_TYPE_EN,LEGAL_STATUS_EN,WEBPAGE,PHONE,FAX,LICENSE_NUMBER,LICENSE_ISSUE_DATE,LICENSE_EXPIRY_DATE,CHAMBER_OF_COMMERCE_NO
"2188","VERTU REAL ESTATE DEVELOPMENT L.L.C","2025-01-02 08:05:31","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1446196","2024-12-25 00:00:00","2025-12-24 00:00:00",""
"2189","NABNI ALMUSTAQBAL PROPERTIES DEVELOPMENT L.L.C","2025-01-02 23:27:19","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1453319","2024-12-24 00:00:00","2025-12-23 00:00:00",""
"2190","GFS WONDERS DEVELOPERS L.L.C","2025-01-07 11:18:35","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1453303","2024-12-28 00:00:00","2025-12-27 00:00:00",""
"2191","HOMEDGE REAL ESTATE DEVELOPMENT L.L.C","2025-01-07 11:21:48","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1452829","2024-12-24 00:00:00","2025-12-23 00:00:00",""
"2192","BRAVIMA REAL ESTATE DEVELOPMENT L.L.C","2025-01-08 10:51:38","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1443345","2024-11-29 00:00:00","2025-11-28 00:00:00",""
"2193","ALAIA DEVELOPMENTS L.L.C","2025-01-09 08:18:37","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1451018","2024-12-25 00:00:00","2025-12-24 00:00:00",""
"2194","ONE ZERO EIGHT SEVEN ELEN REAL ESTATE L.L.C","2025-01-09 20:27:14","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","0565024500","07075786786","1454565","2025-01-03 00:00:00","2026-01-02 00:00:00",""
"2195","AURUM ESTATES REAL ESTATE DEVELOPMENT L.L.C","2025-01-09 20:29:06","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","043515583","043515583","1452748","2025-01-09 00:00:00","2026-01-08 00:00:00",""
"2196","MOHAMMAD ABUHIJLEH REAL ESTATE DEVELOPMENT L.L.C","2025-01-09 20:39:21","DUBAI ECONOMIC DEPARTMENT","","","","","","1458183","2025-01-09 00:00:00","2026-01-08 00:00:00",""
"2197","EXPO CITY AL WAHA RESIDENCES DEVELOPMENT FZCO","2025-01-14 20:49:23","","","","","045552020","045552021","00111","2025-01-07 00:00:00","2026-01-06 00:00:00",""
"2198","JAMAL ABUHIJLEH & AHMED AL BASSAM REAL ESTATE DEVELOPMENT L.L.C","2025-01-15 12:27:17","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","0555588271","","1457417","2025-01-15 00:00:00","2026-01-14 00:00:00",""
"2199","VIBE LIFE PROPERTIES L.L.C","2025-01-16 09:56:38","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1368296","2024-05-29 00:00:00","2026-05-28 00:00:00",""
"2200","AZIMUTH DEVELOPMENT L.L.C","2025-01-16 13:11:59","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","971-58-5860107","","1142116","2023-02-23 00:00:00","2026-02-22 00:00:00",""
"2201","DREAMKEY PROPERTIES L.L.C","2025-01-20 11:38:39","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1461053","2025-01-17 00:00:00","2026-01-16 00:00:00",""
"2202","TSZ REAL ESTATE DEVELOPMENT L.L.C","2025-01-20 13:45:15","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1331358","2024-03-23 00:00:00","2026-03-22 00:00:00",""
"2203","LE LUMINOUS REAL ESTATE DEVELOPMENT L.L.C","2025-01-20 13:50:03","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1406925","2024-09-02 00:00:00","2026-09-01 00:00:00",""
"2204","KHALIS PROPERTIES L.L.C","2025-01-22 07:06:54","DUBAI ECONOMIC DEPARTMENT","","","","","","1319399","2024-03-06 00:00:00","2026-03-06 00:00:00",""
"2205","THE LUXE REAL ESTATE DEVELOPMENT L.L.C","2025-01-22 11:39:19","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1207590","2023-07-11 00:00:00","2026-07-10 00:00:00",""
"2206","GOLDEN LIGHT REAL ESTATE DEVELOPMENTS L.L.C","2025-01-23 07:36:21","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1463912","2025-01-22 00:00:00","2026-01-21 00:00:00",""
"2207","ALIYAS REAL ESTATE DEVELOPMENT L.L.C","2025-01-23 07:38:00","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","68836231","","1112336","2022-10-27 00:00:00","2025-10-26 00:00:00",""
"2208","AL MADAR PROPERTIES L.L.C","2025-01-23 13:11:44","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","971-04-5686919","","1422039","2024-10-03 00:00:00","2026-10-02 00:00:00",""
"2209","IKARIA D W I REAL ESTATE DEVELOPMENT L.L.C","2025-01-23 21:34:51","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1461094","2025-01-23 00:00:00","2026-01-22 00:00:00",""
"2210","EMDEE REAL ESTATE DEVELOPMENT L.L.C","2025-01-23 21:37:22","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1454281","2025-01-15 00:00:00","2026-01-14 00:00:00",""
"2211","HYGGE D W I REAL ESTATE DEVELOPMENT L.L.C","2025-01-23 22:04:03","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1461096","2025-01-23 00:00:00","2026-01-22 00:00:00",""
"2212","IMTIAZ UG REAL ESTATE DEVELOPMENT L.L.C","2025-01-27 07:14:21","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","044303703","044303703","1455437","2025-01-15 00:00:00","2026-01-14 00:00:00",""
"2213","CENTURION CAPITAL ONE PROPERTIES L.L.C","2025-01-27 07:15:11","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1463130","2025-01-22 00:00:00","2026-01-21 00:00:00",""
"2214","BOOSTING ONE REAL ESTATE L.L.C","2025-01-27 07:29:58","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1071135","2022-06-13 00:00:00","2026-06-12 00:00:00",""
"2215","N S S FUTURE REAL ESTATE DEVELOPMENT L.L.C","2025-01-27 10:03:18","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","0506596665","0506596665","1393151","2024-08-06 00:00:00","2025-08-05 00:00:00",""
"2216","SAMHA REAL ESTATE DEVELOPMENT L.L.C","2025-01-27 12:27:04","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","958954","2021-06-09 00:00:00","2026-06-08 00:00:00",""
"2217","ALLEGRO REAL ESTATE DEVELOPMENT L.L.C","2025-01-28 13:58:37","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1461033","2025-01-17 00:00:00","2026-01-16 00:00:00",""
"2218","DNC PROPERTIES L.L.C","2025-01-29 07:59:05","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1441358","2024-12-04 00:00:00","2025-12-03 00:00:00",""
"2219","KINGDOM GATE PROPERTY DEVELOPMENT L.L.C","2025-01-30 07:11:13","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1433209","2024-11-01 00:00:00","2025-10-31 00:00:00",""
"2220","REIT DEVELOPMENT DMCC","2025-01-30 07:13:26","DUBAI MULTI COMMODITIES CENTER  AUTHORITY","","","","045608400","","DMCC-829671","2022-01-18 00:00:00","2025-01-17 00:00:00",""
