ï»¿PROJECT_NUMBER,PROJECT_EN,DEVELOPER_NUMBER,DEVELOPER_EN,START_DATE,END_DATE,ADOPTION_DATE,PRJ_TYPE_EN,PROJECT_VALUE,ESCROW_ACCOUNT_NUMBER,PROJECT_STATUS,PERCENT_COMPLETED,INSPECTION_DATE,COMPLETION_DATE,DESCRIPTION_EN,AREA_EN,ZONE_EN,CNT_LAND,CNT_BUILDING,CNT_VILLA,CNT_UNIT,MASTER_PROJECT_EN
274,77S,1963,77 SHADES OF GREEN REALESTATE DEVELOPMENT L.L.C,2025-01-31 00:00:00,2027-12-31 00:00:00,2007-10-09 00:00:00,Normal,150000000,,PENDING,13.69,2019-05-21 14:26:46,2011-12-30 00:00:00,3B+G+3P+Gym+4 office Floor+19F+1 Mechanical Floor+1 Sky Park+2 Penthouse Floors+2 sky villa floors+R,Business Bay,Dubai Development Authority (DDA),0,0.0,0.0,290.0,
274,77S,1963,77 SHADES OF GREEN REALESTATE DEVELOPMENT L.L.C,2025-01-31 00:00:00,2027-12-31 00:00:00,2007-10-09 00:00:00,Normal,150000000,,PENDING,13.69,2019-05-21 14:26:46,2011-12-30 00:00:00,3B+G+3P+Gym+4 office Floor+19F+1 Mechanical Floor+1 Sky Park+2 Penthouse Floors+2 sky villa floors+R,Business Bay,Dubai Municipality,0,0.0,0.0,290.0,
558,LIME LIGHT TWIN TOWERS,1056,LIME LIGHT REAL ESTATE DEVELOPMENT L.L.C,2025-02-01 00:00:00,2026-06-30 00:00:00,2008-09-23 00:00:00,Normal,182000000,010493173531,ACTIVE,220.0742,2021-01-11 11:52:09,2012-08-12 00:00:00,"Freehold 2 residential towers development located in Dubai Sports City, the two towers are designed to have 3B+G+23 floors. The two towers are designed to be built as a concrete structure with its internal and external finishes.",Al Hebiah Fourth,Dubai Development Authority (DDA),0,0.0,0.0,734.0,
986,ROCKLAND SQUARE,839,ROCKLAND DEVELOPERS LIMITED,2025-06-19 00:00:00,,2008-10-25 00:00:00,Normal,,,CANCELLED,,,, ,Al Barsha South Fourth,Trakhees,,,,,
2895,Samana Resorts,1229,SAMANA INTERNATIONAL REAL ESTATE DEVELOPMENT L.L.C,2025-05-01 00:00:00,2028-05-30 00:00:00,2025-01-09 00:00:00,Normal,165000000,001582146524301,ACTIVE,2.01,2025-04-24 16:25:26,,"Shared(3B+G); Tower A (16F+R); Tower B (16F+R)
",Me'Aisem First,Dubai Development Authority (DDA),0,0.0,0.0,1572.0,
2964,Ayana Gardens,1446,TUSCANY REAL ESTATE DEVELOPMENT L.L.C,2025-09-01 00:00:00,2027-08-31 00:00:00,,Normal,40000000,0012315743002,PENDING,0,2024-04-03 15:20:25,,G + 5F + R,Nad Al Shiba First,,0,0.0,0.0,70.0,
3060,butterfly,1259,DESERT FALCON REAL ESTATE DEVELOPMENT L.L.C,2025-01-01 00:00:00,2029-01-31 00:00:00,2024-08-29 12:12:44,Normal,186199391,0205191459202,ACTIVE,0,2024-06-13 08:26:46,,"B+G+2P+17,The project designed to have a concrete structure and block with internal and external finishes.",Al Barshaa South Third,Dubai Development Authority (DDA),0,0.0,0.0,606.0,
3072,Livel Residenza,1766,VANTAGE CAPITAL REAL ESTATE DEVELOPMENT L.L.C,2025-01-30 00:00:00,2026-12-31 00:00:00,2025-07-16 10:28:50,Normal,80200000,13502430920002,ACTIVE,15.85,2025-04-21 09:18:27,,"Residential Tower comprising Ground floor, 4 Podiums, 15 floors and Roof.",Al Barsha South Fourth,Trakhees,0,0.0,0.0,137.0,
3103,Aptos Residenza,1766,VANTAGE CAPITAL REAL ESTATE DEVELOPMENT L.L.C,2025-09-15 00:00:00,2027-03-14 00:00:00,,Normal,50000000,,PENDING,0.01,2024-05-20 09:56:56,,"G+4P+15 ,with amenities Residential.The project designed to have a concrete structure and block with internal and external finishes.",Al Barsha South Fourth,,0,0.0,0.0,148.0,
3133,Dubai Harbour Residences (Area 1),1900,HARBOUR ONE INVESTMENT L.L.C,2025-02-07 00:00:00,2028-01-14 00:00:00,2024-07-25 10:21:10,Normal,500000000,0205887629202,ACTIVE,1.43,2025-05-16 14:50:52,2028-01-14 00:00:00,"Residential and Commercial Building 2B+G+8 Ground, Floor retail public praying facilities",Marsa Dubai,Dubai Development Authority (DDA),0,0.0,0.0,234.0,
3134,Dubai Harbour Residences (Area 3),1900,HARBOUR ONE INVESTMENT L.L.C,2025-02-07 00:00:00,2028-01-14 00:00:00,2024-07-25 10:31:17,Normal,400000000,0205887629204,ACTIVE,2.33,2025-05-16 15:12:41,2028-01-14 00:00:00,"Residential and Commercial Building 2B+G+8 Ground, Floor retail public praying facilities",Marsa Dubai,Dubai Development Authority (DDA),0,0.0,0.0,170.0,
3138,South Garden A,1233,JAG DEVELOPMENT L.L.C,2025-01-01 00:00:00,2027-12-31 00:00:00,2024-06-10 15:48:50,Normal,188636080,0205256550218,ACTIVE,0.55,2025-07-01 12:02:45,,B+G+2 Podium+12 Floors Residential & commercial building,Jabal Ali First,Dubai Municipality,0,0.0,0.0,260.0,
3140,South Garden B,1233,JAG DEVELOPMENT L.L.C,2025-01-01 00:00:00,2027-12-31 00:00:00,2024-06-10 15:48:50,Normal,188636080,0205256550216,ACTIVE,0.55,2025-07-01 12:06:07,,B+G+2 Podium+12 Floors Residential & commercial building.The project designed to have a concrete structure and block with internal and external finishes.,Jabal Ali First,Dubai Municipality,0,0.0,0.0,258.0,
3141,South Garden C,1233,JAG DEVELOPMENT L.L.C,2025-01-01 00:00:00,2027-12-31 00:00:00,2024-06-10 15:48:50,Normal,188636080,0205256550214,ACTIVE,0.57,2025-07-01 12:10:01,,B+G+2 Podium+12 Floors Residential & commercial building. The project designed to have a concrete structure and block with internal and external finishes.,Jabal Ali First,Dubai Municipality,0,0.0,0.0,258.0,
3151,PG Maison,1850,PG MAISON REAL ESTATE DEVELOPMENT L.L.C,2025-02-01 00:00:00,2026-12-31 00:00:00,2024-12-06 11:22:38,Normal,68000000,001582140748801,ACTIVE,1.49,2025-08-26 11:54:06,2026-12-31 00:00:00,"Building 2B+G+2P+20F+R,Residential and Commercial,The project designed to have a concrete structure and block with internal and external finishes.",Jabal Ali First,Trakhees,0,0.0,0.0,85.0,
3154,Vincitore Aqua Flora,1949,VINCITORE LUXURY REAL ESTATE DEVELOPMENT L.L.C,2025-01-01 00:00:00,2028-06-30 00:00:00,2024-09-23 13:19:30,Normal,210000000,019500000662,ACTIVE,0,2024-07-03 10:44:39,2028-06-30 00:00:00,"G+4P+15+Roof Retail, Residential Building ",Al Barshaa South Second,Dubai Development Authority (DDA),0,0.0,0.0,546.0,
3187,THE AUTOGRAPH-I SERIES,1198,GREEN PROPERTIES DEVELOPMENT CO.,2025-03-31 00:00:00,2028-08-31 00:00:00,2025-03-20 10:32:35,Normal,90000000,019500000714,ACTIVE,0,2025-03-04 14:16:27,2027-12-01 00:00:00,G+5P+39+R,Al Barsha South Fourth,Trakhees,0,0.0,0.0,272.0,
3188,Verdes by Haven 1,1658,AURORA SPV 1 L.L.C,2025-02-16 00:00:00,2028-05-31 00:00:00,2024-09-10 15:28:19,Normal,964499996,4031225788862013,ACTIVE,0.88,2025-06-02 11:11:51,2028-07-04 00:00:00,"project contains 
Building 1 - G + P + 14 + R with total no of 175 units
Building 2- G + P + 17+ R with total no of 248 units
Building 3- G + P + 10+ R with total no of 92 units
Building 4- G + P + 10+ R with total no of 92 units
Building 5- G + P + 17+ R with total no of 248 units
Building 6 - G + P + 14 + R with total no of 133 units
Total residential units 988
Commercial units 0",Wadi Al Safa 5,Dubai Development Authority (DDA),0,0.0,0.0,988.0,
3205,Samana Boulevard Heights,1229,SAMANA INTERNATIONAL REAL ESTATE DEVELOPMENT L.L.C,2025-07-01 00:00:00,2028-12-31 00:00:00,,Normal,128700000,8323164856902,PENDING,0,2025-02-20 19:45:30,,B+G+3P+17,Wadi Al Safa 5,,0,0.0,0.0,541.0,
3206,One.B Tower ,1946,1B TOWER CO. L.L.C,2025-03-01 00:00:00,2028-12-31 00:00:00,2024-09-25 11:55:29,Normal,438482401,0205886771202,ACTIVE,2.11,2025-04-25 08:57:34,,1 Billion Meals Endowment Residential & Retail Tower,Business Bay,Dubai Municipality,0,0.0,0.0,262.0,
3209,LAZORD BY LAPIS,1927,LAPIS PROPERTIES L.L.C,2025-01-01 00:00:00,2026-12-31 00:00:00,2024-09-03 20:51:05,Normal,60000000,019000084536,ACTIVE,2.36,2025-09-01 10:26:40,,RESIDENTIAL & COMMERCIAL BUILDING (B+G+3P+8) ,Wadi Al Safa 3,Dubai Development Authority (DDA),0,0.0,0.0,313.0,
3211,Hillcrest,1162,NSHAMA PROPERTIES OWNED BY NSHMI DEVELOPMENT ONE PERSON COMPANY L.L.C,2025-03-03 00:00:00,2027-06-30 00:00:00,2024-09-11 09:25:17,Normal,128985625,4031224702173068,ACTIVE,0,2024-07-26 11:44:21,,G+2P+12 + Parking in Ground Floor & Podium Floors,Al Yelayiss 2,Dubai Development Authority (DDA),0,0.0,0.0,171.0,
3218,Rome by SD,1688,SAMANA STAR REAL ESTATE DEVELOPMENT L.L.C,2025-01-01 00:00:00,2027-12-31 00:00:00,2024-11-04 12:41:01,Normal,22000000,1009718337,ACTIVE,2.79,2025-06-17 12:13:52,,"B+G+5+R.The project designed to have a concrete structure and block with internal and external finishes.
",Wadi Al Safa 3,Dubai Municipality,0,0.0,0.0,42.0,
3243,STAMN ONE,1943,STAMN REAL ESTATE DEVELOPMENT L.L.C,2025-02-15 00:00:00,2026-10-15 00:00:00,2024-12-18 18:29:35,Normal,29000000,1011226081896003,ACTIVE,0,2024-10-20 15:28:59,,G+2P+7+Roof.The project designed to have a concrete structure and block with internal and external finishes.,Al Satwa,Dubai Development Authority (DDA),0,0.0,0.0,77.0,
3245,Golf Grove by Regent,1995,REGENT STAR PROPERTY DEVELOPMENTS L.L.C,2025-01-02 00:00:00,2028-01-02 00:00:00,2025-02-20 12:38:27,Normal,30000000,0205909185702,ACTIVE,0,2025-01-08 19:05:07,,G+2P+7+R,Me'Aisem First,Dubai Development Authority (DDA),0,0.0,0.0,98.0,
3255,BELLARIA,1211,EMAAR DEVELOPMENT P.J.S.C.,2025-01-25 00:00:00,2029-05-31 00:00:00,2024-08-29 00:00:00,Normal,696958024,10653441920049,CANCELLED,0,2024-08-20 19:45:10,,"Residential Development Consisting of 494 townhouses (G+1) and 146 semi detached units (G+2)
",Al Yelayiss 5,Dubai Municipality,,,,,
